file,line,col,code,rule
platform/orchestrators/orchestrator-detail.md,19,24,D-VPLC,H01
platform/orchestrators/orchestrators-list.md,5,71,D-VPLC,H01
platform/orchestrators/orchestrators-list.md,5,107,D-VPLC,H01
platform/orchestrators/orchestrators-list.md,29,18,D-VPLC,H01
platform/orchestrators/orchestrators-list.md,31,15,D-VPLC,H01
platform/orchestrators/orchestrators-list.md,35,6,D-VPLC,H01
platform/orchestrators/orchestrators-list.md,37,3,D-VPLC,H01
platform/orchestrators/orchestrators-list.md,43,54,D-VPLC,H01
platform/orchestrators/overview.md,40,28,D-HOST,H05
troubleshooting/orchestrator-not-connecting.md,71,40,D-HOST,H05
troubleshooting/orchestrator-not-connecting.md,82,8,D-HOST,H05
troubleshooting/plan-limit-reached.md,52,3,D-VPLC,H01
troubleshooting/vplc-stuck-stopped.md,22,13,D-HOST,H05
troubleshooting/vplc-stuck-stopped.md,39,79,D-PLAIN,H02
troubleshooting/vplc-stuck-stopped.md,48,44,D-PLAIN,H02
troubleshooting/vplc-stuck-stopped.md,56,5,D-PLAIN,H02
troubleshooting/vplc-stuck-stopped.md,78,21,D-PLAIN,H02
getting-started/account-and-signup.md,38,68,D-VPLC,H01
getting-started/account-and-signup.md,39,107,D-VPLC,H01
getting-started/account-and-signup.md,50,159,D-VPLC,H01
getting-started/quick-start.md,11,112,D-PLAIN,H02
getting-started/quick-start.md,15,54,D-HOST,H05
getting-started/quick-start.md,24,99,D-VPLC,H01
getting-started/quick-start.md,261,25,D-EDITORNODE,H03
getting-started/quick-start.md,262,43,O-EDGEDEV,H06
getting-started/quick-start.md,325,21,D-PLAIN,H02
getting-started/what-is-autonomy-edge.md,10,75,D-HOST,H05
getting-started/what-is-autonomy-edge.md,20,25,D-HOST,H05
getting-started/what-is-autonomy-edge.md,43,50,D-VPLC,H01
account/settings/account.md,13,76,D-VPLC,H01
account/settings/usage.md,51,5,D-VPLC,H01
reference/glossary.md,35,42,D-VPLC,H01
reference/glossary.md,55,51,D-VPLC,H01
reference/glossary.md,107,43,D-VPLC,H01
platform/vplcs/connecting-from-editor.md,44,8,O-AGENT,H07
platform/vplcs/network-modes.md,7,251,D-PLAIN,H02
platform/vplcs/network-modes.md,22,36,D-PLAIN,H02
platform/vplcs/network-modes.md,25,85,D-PLAIN,H02
platform/vplcs/overview.md,11,194,D-HOST,H05
platform/vplcs/vplc-detail.md,34,188,D-PLAIN,H02
platform/projects/project-page.md,13,173,D-EDITORNODE,H03
platform/projects/overview.md,46,61,D-EDITORNODE,H03
getting-started/quick-start.md,114,199,D-HOST,H05
getting-started/what-is-autonomy-edge.md,18,55,D-HOST,H05
getting-started/what-is-autonomy-edge.md,29,146,D-HOST,H05
reference/faq.md,73,104,D-PLAIN,H02
changelog-link.md,24,53,X-HIST,H08
platform/projects/overview.md,16,20,D-EDITORNODE,H03
openplc-editor/custom-languages/python-blocks/python-restrictions.md,57,84,D-TARGET,H09
openplc-editor/custom-languages/python-blocks/python-restrictions.md,58,52,D-TARGET,H09
troubleshooting/vplc-stuck-stopped.md,27,22,D-VPLC,H10
getting-started/quick-start.md,26,221,O-SE,H11
openplc-editor/README.md,50,56,D-VPLC,H12
openplc-editor/README.md,50,78,D-VPLC,H12
openplc-editor/communication/README.md,113,22,D-VPLC,H12
openplc-editor/communication/README.md,115,186,D-VPLC,H12
openplc-editor/communication/README.md,117,20,D-VPLC,H12
openplc-editor/communication/README.md,117,80,D-VPLC,H12
openplc-editor/communication/s7comm/example.md,53,44,D-VPLC,H12
openplc-editor/communication/ethercat/troubleshooting.md,11,101,D-VPLC,H12
openplc-editor/communication/ethercat/troubleshooting.md,13,221,D-VPLC,H12
platform/vplcs/connecting-from-editor.md,10,45,D-VPLC,H13
platform/vplcs/vplc-detail.md,40,109,D-VPLC,H13
platform/vplcs/vplc-detail.md,40,143,D-VPLC,H13
troubleshooting/plan-limit-reached.md,30,5,D-VPLC,H13
troubleshooting/plan-limit-reached.md,30,67,D-VPLC,H13
getting-started/quick-start.md,66,57,D-VPLC,H13
index.md,19,6,O-REWRITE,H14
getting-started/quick-start.md,26,3,O-REWRITE,H14
getting-started/quick-start.md,66,4,O-REWRITE,H14
platform/projects/overview.md,43,10,O-REWRITE,H14
platform/orchestrators/overview.md,3,6,O-REWRITE,H14
openplc-editor/communication/README.md,108,87,O-REWRITE,H14
openplc-editor/communication/modbus/client.md,158,65,O-REWRITE,H14
openplc-editor/building-deploying/simulator.md,13,34,D-EDITORNODE,H15
openplc-editor/building-deploying/persistent-storage.md,32,42,D-EDITORNODE,H15
openplc-editor/building-deploying/persistent-storage.md,34,29,D-EDITORNODE,H15
openplc-editor/building-deploying/runtime-status.md,5,22,D-EDITORNODE,H15
openplc-editor/building-deploying/runtime-status.md,9,219,D-EDITORNODE,H15
openplc-editor/building-deploying/user-management.md,5,68,D-EDITORNODE,H15
openplc-editor/building-deploying/user-management.md,7,29,D-EDITORNODE,H15
openplc-editor/communication/ethercat/prerequisites.md,21,84,O-AGENT,H16
